symbol,timeframe,r1,r2,strategy_name,start_time,end_time,total_return,annual_return,max_drawdown,sharpe_ratio,win_rate,profit_factor,total_trades,winning_trades,losing_trades,avg_win,avg_loss,final_capital
BTCUSDT,1d,20,81,RSI_R1_20_R2_81,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,82,RSI_R1_20_R2_82,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,83,RSI_R1_20_R2_83,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,84,RSI_R1_20_R2_84,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,85,RSI_R1_20_R2_85,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,86,RSI_R1_20_R2_86,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,87,RSI_R1_20_R2_87,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,88,RSI_R1_20_R2_88,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,89,RSI_R1_20_R2_89,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,90,RSI_R1_20_R2_90,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
